"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"11","Argentina",3000,3200,3400,3600,3800,3500,3200,3100,3000,3000,2700,2800,2800,2900,3100,3200,3200,3200,3000,2900,NA,NA
"29","Botswana",600,600,1300,2000,2900,4100,5500,7100,9000,11000,13000,15000,16000,17000,15000,12000,10000,9200,7900,5800,NA,NA
"30","Brazil",4600,5700,7000,8400,10000,12000,13000,13000,11000,10000,10000,11000,12000,12000,13000,13000,12000,14000,14000,14000,15000,15000
"34","Burkina Faso",6700,8500,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,14000,14000,13000,12000,10000,9300,8300,7100,NA,NA
"35","Burundi",3900,4900,6000,7300,8600,9800,11000,12000,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,NA,NA
"37","Cameroon",600,1300,2100,3500,5600,8400,12000,16000,20000,24000,27000,31000,33000,35000,36000,38000,39000,38000,37000,37000,NA,NA
"41","Central African Republic",1000,1600,2500,3700,5200,6900,8600,10000,12000,13000,14000,15000,15000,16000,16000,15000,15000,14000,12000,11000,NA,NA
"42","Chad",1400,1700,2100,2600,3200,3800,4500,5200,6100,7000,7900,8900,10000,11000,12000,13000,13000,13000,13000,11000,NA,NA
"45","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26000,NA,NA
"48","Colombia",1100,1500,2100,2900,3700,4700,5600,6500,7400,8200,8900,9300,7800,8000,8700,9300,9900,9200,9800,11000,11000,9700
"51","Congo, Rep.",3000,3600,4200,4700,5000,5300,5500,5600,5600,5700,5700,5800,5800,5900,5900,5700,5100,4800,5000,5100,NA,NA
"54","Cote d'Ivoire",3900,5800,8700,12000,17000,22000,28000,34000,39000,44000,48000,51000,52000,53000,53000,50000,47000,45000,41000,36000,NA,NA
"77","France",8100,8200,8100,7900,7700,7500,5600,2700,1700,1700,1800,1800,1800,1800,1800,1500,1200,1200,1200,1300,1300,1300
"83","Germany",2500,2800,3000,3100,3300,3300,2500,1700,1200,600,600,600,600,600,600,600,600,600,600,600,NA,NA
"84","Ghana",600,600,1400,2000,3000,4400,6200,8200,10000,12000,15000,16000,18000,19000,20000,20000,20000,20000,19000,18000,NA,NA
"96","Haiti",3900,5000,6100,7300,8300,9300,10000,11000,11000,11000,12000,12000,12000,11000,11000,11000,10000,8700,7600,6600,5900,5800
"102","India",5300,8000,12000,18000,26000,37000,51000,67000,85000,100000,120000,140000,160000,180000,190000,200000,200000,190000,190000,170000,NA,NA
"103","Indonesia",60,60,60,60,60,60,60,60,60,60,60,150,350,600,1200,2200,3300,4900,7100,9400,12000,15000
"109","Italy",1600,2500,3600,4600,5600,6500,4200,2300,1500,600,600,600,600,600,600,600,600,600,600,600,600,600
"115","Kenya",10000,16000,24000,34000,46000,60000,74000,87000,100000,110000,120000,120000,130000,130000,130000,120000,110000,99000,91000,80000,NA,NA
"126","Lesotho",60,120,300,600,1400,2500,4000,5900,8100,10000,12000,14000,16000,18000,19000,19000,18000,16000,14000,14000,NA,NA
"135","Malawi",14000,18000,22000,27000,31000,36000,41000,45000,50000,55000,59000,63000,67000,71000,74000,77000,75000,68000,62000,55000,49000,44000
"145","Mexico",4800,5300,5800,6300,6700,7200,7600,7900,7500,7700,7900,7800,7600,7200,6700,6700,6600,6100,5600,5200,5000,4900
"153","Mozambique",2200,3200,4500,6300,8600,11000,15000,19000,24000,30000,36000,43000,50000,58000,65000,71000,74000,74000,73000,74000,NA,NA
"154","Myanmar",350,350,600,1400,2100,3000,3900,4900,6100,7300,8600,10000,12000,13000,15000,16000,17000,17000,17000,17000,17000,16000
"165","Nigeria",4400,7600,12000,19000,28000,40000,54000,71000,91000,110000,130000,150000,170000,190000,210000,210000,220000,220000,220000,210000,210000,210000
"187","Rwanda",14000,14000,15000,15000,16000,16000,17000,18000,20000,21000,21000,21000,21000,21000,21000,20000,16000,12000,9600,8500,7300,6400
"211","South Africa",2200,3600,5900,9800,16000,26000,41000,61000,89000,120000,160000,210000,260000,300000,340000,370000,390000,390000,380000,340000,300000,270000
"213","Spain",3000,3500,4000,4600,5200,5900,5900,3700,1800,2000,2000,1800,1700,1700,1700,1700,1700,1600,1600,1600,NA,NA
"224","Tanzania",22000,30000,40000,51000,63000,76000,89000,100000,110000,120000,120000,130000,130000,130000,130000,130000,130000,120000,100000,96000,91000,84000
"225","Thailand",1100,3600,8600,16000,25000,34000,42000,49000,48000,55000,56000,52000,47000,39000,27000,21000,21000,25000,28000,28000,NA,NA
"237","Uganda",85000,95000,100000,110000,110000,110000,110000,110000,110000,110000,100000,100000,97000,93000,89000,82000,74000,74000,74000,69000,66000,62000
"238","Ukraine",60,60,60,60,150,350,600,1400,2600,4300,6400,9000,12000,15000,18000,20000,21000,23000,23000,23000,23000,22000
"241","United States",32000,39000,45000,51000,56000,59000,59000,38000,33000,25000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,20000,20000
"251","Vietnam",300,300,600,600,1000,1300,1700,2200,2800,3600,4500,5500,6800,8200,9800,11000,13000,13000,14000,14000,NA,NA
"257","Zambia",23000,29000,34000,39000,44000,49000,53000,57000,60000,63000,66000,68000,69000,71000,70000,65000,60000,49000,42000,45000,NA,NA
"258","Zimbabwe",23000,32000,43000,55000,68000,82000,96000,110000,120000,140000,150000,150000,160000,160000,150000,150000,140000,130000,110000,98000,78000,58000
"260","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000
